,Organisation Name,City,County,Type & Rating,Route
483,A.J. FAIRLEE LIMITED,London,,Worker (A rating),Skilled Worker
487,A.L.O. Physiotherapy Clinic Ltd,London,,Worker (A rating),Skilled Worker
488,A.M. Best Europe Rating Service,London,,Worker (A rating),Skilled Worker
489,A.M. Best Europe Rating Service,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
490,A.M. Nomikos & Son (UK) Ltd,London,,Worker (A rating),Skilled Worker
491,A.M. Qattan Foundation,London,,Worker (A rating),Skilled Worker
492,A.M. Qattan Foundation,London,,Temporary Worker (A rating),Creative Worker
493,A.M. Qattan Foundation,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
497,A.Poortman (London) Limited Trading AGT Poortman,London,,Worker (A rating),Skilled Worker
500,A.S. Brill & Co Ltd,London,,Worker (A rating),Skilled Worker
501,A.S.I. (Research) Limited,London,,Worker (A rating),Skilled Worker
503,A.S.Zanettos & Co. Ltd,London,,Worker (A rating),Skilled Worker
507,A.Z Investements Limited,London,,Worker (A rating),Skilled Worker
516,A1 Repair Ltd,London,,Worker (A rating),Skilled Worker
518,A1 Woodgreen Retail Limited,London,,Worker (A rating),Skilled Worker
534,A2Z Works Limited,London,England,Worker (A rating),Skilled Worker
535,A3D2 Ltd,London,,Worker (A rating),Skilled Worker
536,A3Pro Ltd,London,,Worker (A rating),Skilled Worker
537,A3Pro Ltd,London,,Temporary Worker (A rating),Creative Worker
539,A4 Trading Limited T/A Flora Indica,London,,Worker (A rating),Skilled Worker
543,AA Access Partnership Ltd,London,,Worker (A rating),Skilled Worker
557,AAA Dentalab Ltd,London,,Worker (A rating),Skilled Worker
564,Aadam Foods Limited  T/A Western Foods & Wine Express,London,,Worker (A rating),Skilled Worker
572,AAGSJP Ltd,London,,Worker (A rating),Skilled Worker
579,Aalto Capital LLP,London,,Worker (A rating),Skilled Worker
585,"AAR International, Inc.",London,,Worker (A rating),Skilled Worker
586,"AAR International, Inc.",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
587,Aarani And Aarujan Ltd T/a BP,London,,Worker (A rating),Skilled Worker
592,Aares Enterprise Ltd,London,England,Worker (A rating),Skilled Worker
593,AArete UK Limited,London,,Worker (A rating),Skilled Worker
594,AArete UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
598,AARK TECH SOLUTIONS LTD,London,,Worker (A rating),Skilled Worker
600,Aaro Capital Limited,London,,Worker (A rating),Skilled Worker
601,Aarogya Ltd,London,County (optional),Worker (A rating),Skilled Worker
603,Aaron & Newton Co Ltd,London,,Worker (A rating),Skilled Worker
613,AAS Mid-Cap UK Branch,London,,Worker (A rating),Skilled Worker
614,AAS Mid-Cap UK Branch,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
622,Aatomic lTD,London,Mile End,Worker (A rating),Skilled Worker
623,AAVE LIMITED,London,,Worker (A rating),Skilled Worker
629,AB Dental Ltd,London,,Worker (A rating),Skilled Worker
630,AB Energy UK,London,,Worker (A rating),Skilled Worker
634,AB InBev UK Ltd,London,,Worker (A rating),Skilled Worker
635,AB InBev UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
639,Ab Rogers Limited,London,,Worker (A rating),Skilled Worker
641,AB TASTY LIMITED LTD,London,,Worker (A rating),Skilled Worker
645,Abacus Cambridge Partners Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
646,Abacus Cambridge Partners Ltd,London,,Worker (A rating),Skilled Worker
650,Abacus Information Technology UK Limited,London,,Worker (A rating),Skilled Worker
651,Abacus Information Technology UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
652,Abacus Lease Investment Limited,London,London,Worker (A rating),Skilled Worker
668,ABBEY CARE CENTRE LIMITED T/A Bhakti Shyama care Centre,London,,Worker (A rating),Skilled Worker
714,ABBS INTERNATIONAL SERVICES LTD,London,London,Worker (A rating),Skilled Worker
715,ABBS INTERNATIONAL SERVICES LTD,London,London,Temporary Worker (A rating),Creative Worker
718,ABBVL Limited,London,Greater London,Worker (A rating),Skilled Worker
720,Abc Daycare Ltd,London,London,Worker (A rating),Skilled Worker
722,ABC International Bank Plc,London,,Worker (A rating),Skilled Worker
723,ABC International Bank Plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
724,ABC Maintence London,London,Greater London,Worker (A rating),Skilled Worker
725,ABC MOBIL LTD,London,,Worker (A rating),Skilled Worker
727,ABC Studio Childcare Ltd,London,,Worker (A rating),Skilled Worker
732,"ABeam Consulting Ltd., UK Branch",London,,Worker (A rating),Skilled Worker
733,"ABeam Consulting Ltd., UK Branch",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
735,Abel & Imray,London,,Worker (A rating),Skilled Worker
737,Aber Soft Limited,London,,Worker (A rating),Skilled Worker
739,Abercorn School,London,,Worker (A rating),Skilled Worker
785,ABIKE ADE FOUNDATION,London,,Temporary Worker (A rating),Creative Worker
792,Abingworth LLP,London,,Worker (A rating),Skilled Worker
793,Abingworth LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
794,Abintus Consulting Limited,London,,Worker (A rating),Skilled Worker
795,Abis Resources Limited,London,,Worker (A rating),Skilled Worker
797,Abitant Ltd,London,Westminster,Worker (A rating),Skilled Worker
806,ABLT Group Limited,London,,Worker (A rating),Skilled Worker
807,Ably Real-Time Ltd,London,,Worker (A rating),Skilled Worker
809,ABM GLOBAL COMPLIANCE (UK) LTD,London,,Worker (A rating),Skilled Worker
813,ABMI Engineering UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
814,ABMI Engineering UK Ltd,London,,Worker (A rating),Skilled Worker
815,"ABN AMRO Bank N.V., UK Branch",London,,Worker (A rating),Skilled Worker
816,"ABN AMRO Bank N.V., UK Branch",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
817,"ABN AMRO Bank N.V., UK Branch",London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
826,ABP (LONDON) INVESTMENT LTD,London,,Worker (A rating),Skilled Worker
827,ABP (LONDON) INVESTMENT LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
838,ABPI,London,,Worker (A rating),Skilled Worker
843,Abrams & Chronicle Books Ltd,London,London,Worker (A rating),Skilled Worker
846,Abraxys Ltd,London,London,Worker (A rating),Skilled Worker
852,ABS Europe Limited,London,,Worker (A rating),Skilled Worker
853,ABS Europe Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
857,Absa Securities United Kingdom Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
858,Absa Securities United Kingdom Limited,London,,Worker (A rating),Skilled Worker
859,ABSCapCo Limited,London,,Worker (A rating),Skilled Worker
873,Absolute Pilates Plus LTD,London,,Worker (A rating),Skilled Worker
874,Absolute Post Ltd,London,,Worker (A rating),Skilled Worker
875,Absolute Retail Consulting Limited T/A AbsoluteLabs,London,,Worker (A rating),Skilled Worker
880,Abstract Inc Limited,London,,Worker (A rating),Skilled Worker
882,Abt Britain Limited,London,,Worker (A rating),Skilled Worker
883,Abt Britain Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
892,AC Gilead Solicitors,London,,Worker (A rating),Skilled Worker
894,AC London Trading Limited T/A  Aldo Coppola,London,,Worker (A rating),Skilled Worker
897,AC Talent Sport & Entertainment UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
898,AC Talent Sport & Entertainment UK Limited,London,,Worker (A rating),Skilled Worker
900,ACA Compliance (Europe) Limited,London,,Worker (A rating),Skilled Worker
901,ACA Compliance (Europe) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
902,Acacia Care,London,,Worker (A rating),Skilled Worker
906,Academia One Limited,London,,Worker (A rating),Skilled Worker
907,ACADEMIC EDUCATION LTD,London,,Worker (A rating),Skilled Worker
908,Academic Research House UK Limited,London,,Worker (A rating),Skilled Worker
910,Academies Enterprise Trust,London,,Worker (A rating),Skilled Worker
915,Academy Music Group,London,,Worker (A rating),Skilled Worker
916,Academy Music Group,London,,Temporary Worker (A rating),Creative Worker
917,Academy of Medical Royal Colleges,London,,Temporary Worker (A rating),Government Authorised Exchange
918,Academy of Motion Picture Arts and Sciences,London,,Worker (A rating),Skilled Worker
919,Academy of Motion Picture Arts and Sciences,London,,Temporary Worker (A rating),Creative Worker
920,Academy of Motion Picture Arts and Sciences,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
924,Acadian Asset Management (UK) Limited,London,England,Worker (A rating),Skilled Worker
925,Acadian Asset Management (UK) Limited,London,England,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
927,ACAMS (UK) Ltd,London,,Worker (A rating),Skilled Worker
928,ACAMS (UK) Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
929,Acap Advisory Ltd,London,,Worker (A rating),Skilled Worker
930,ACAS Traders Ltd,London,,Worker (A rating),Skilled Worker
931,Acast Stories Limited,London,,Worker (A rating),Skilled Worker
934,Accedian Networks (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
935,Accedian Networks (UK) Limited,London,,Worker (A rating),Skilled Worker
936,Accedo UK Limited,London,,Worker (A rating),Skilled Worker
937,Accedo UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
938,Accel Partners Management LLP,London,,Worker (A rating),Skilled Worker
943,Accelex Technology Limited,London,,Worker (A rating),Skilled Worker
948,"ACCENT International Consortium for Academic Programs Abroad, Ltd.",London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
951,Accentra Technologies Ltd,London,,Worker (A rating),Skilled Worker
952,Accentra Technologies Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
953,Accenture (UK) Limited,London,,Worker (A rating),Skilled Worker
954,Accenture (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
955,Accenture Song Brand UK Limited,London,,Worker (A rating),Skilled Worker
956,Accenture Song Production Studios Europe Ltd,London,,Worker (A rating),Skilled Worker
957,Accenture Song Production Studios Europe Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
958,Accept & Proceed,London,,Worker (A rating),Skilled Worker
961,Access Building Contractors Ltd.,London,,Worker (A rating),Skilled Worker
962,Access Capital Partners (UK) Ltd.,London,,Worker (A rating),Skilled Worker
963,Access Capital Partners (UK) Ltd.,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
965,Access Construction Services Ltd,London,,Worker (A rating),Skilled Worker
967,Access Fintech (UK) Limited,London,,Worker (A rating),Skilled Worker
968,Access Fintech (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
970,Access Industries (UK) Limited,London,,Worker (A rating),Skilled Worker
971,Access Industries (UK) Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
972,ACCESS INFINITY LTD,London,,Worker (A rating),Skilled Worker
973,Access Intelligence PLC,London,,Worker (A rating),Skilled Worker
976,Access Self Storage Limited,London,,Worker (A rating),Skilled Worker
980,AccessData UK Limited,London,,Worker (A rating),Skilled Worker
981,AccessData UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
998,Accolade (UK) Limited,London,,Worker (A rating),Skilled Worker
1002,Accolite Labs Europe Limited,London,,Worker (A rating),Skilled Worker
1003,Accolite Labs Europe Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1006,Accor HotelServices UK Ltd,London,,Worker (A rating),Skilled Worker
1007,Accor HotelServices UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1008,Accor UK Business & Leisure Hotels Ltd,London,,Worker (A rating),Skilled Worker
1009,Accor UK Business & Leisure Hotels Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1010,Accor UK Business & Leisure Hotels Ltd,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
1011,Accor UK Limited,London,,Worker (A rating),Skilled Worker
1012,Accor UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1020,Accotax Ltd,London,,Worker (A rating),Skilled Worker
1021,Account Media Limited,London,,Worker (A rating),Skilled Worker
1022,Accountagility Limited,London,,Worker (A rating),Skilled Worker
1023,Accountancy and Taxation Services,London,,Worker (A rating),Skilled Worker
1025,ACCOUNTANCY SERVICES LONDON LTD,London,,Worker (A rating),Skilled Worker
1028,Accountax World Ltd T/A Accounts and Tax World,London,,Worker (A rating),Skilled Worker
1032,ACCOUNTS AND LEGAL CONSULTANTS LTD,London,,Worker (A rating),Skilled Worker
1036,ACCTAX CONSULTANCY LIMITED,London,,Worker (A rating),Skilled Worker
1042,Acculearn Trading Limited T/A Cranbrook College,London,Essex,Worker (A rating),Skilled Worker
1044,AccuraCast Ltd,London,England,Worker (A rating),Skilled Worker
1045,Accuracy UK Ltd,London,,Worker (A rating),Skilled Worker
1046,AccuRx Limited,London,,Worker (A rating),Skilled Worker
1051,ACE & Company UK Limited,London,,Worker (A rating),Skilled Worker
1059,ACE Hotels Trading Ltd,London,,Worker (A rating),Skilled Worker
1062,Ace Pro Services Ltd,London,,Worker (A rating),Skilled Worker
1064,Ace Software Solutions Ltd,London,London,Worker (A rating),Skilled Worker
1067,ACE THINKER LIMITED,London,,Worker (A rating),Skilled Worker
1071,Acensys Ltd,London,,Worker (A rating),Skilled Worker
1073,ACER International Limited,London,,Worker (A rating),Skilled Worker
1074,ACER International Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1089,Achieve Teachers Ltd,London,,Worker (A rating),Skilled Worker
1097,Achilles Therapeutics UK Limited,London,,Worker (A rating),Skilled Worker
1098,Achilles Therapeutics UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1109,Ackroyd Legal (London) LLP,London,,Worker (A rating),Skilled Worker
1110,Ackroyd Lowrie Limited,London,London,Worker (A rating),Skilled Worker
1117,Acme People Limited,London,,Worker (A rating),Skilled Worker
1125,A-Cold-Wall* Limited,London,,Worker (A rating),Skilled Worker
1127,a-connect solution (UK) limited,London,,Worker (A rating),Skilled Worker
1133,ACORN DAY OPPORTUNITIES LTD,London,,Worker (A rating),Skilled Worker
1142,Acorn Lodge Care Home,London,,Worker (A rating),Skilled Worker
1153,Acquire Performance Marketing,London,,Worker (A rating),Skilled Worker
1154,Acquired Limited,London,London,Worker (A rating),Skilled Worker
1155,Acquis Consulting UK Limited,London,,Worker (A rating),Skilled Worker
1156,Acquis Consulting UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1158,Acre Platforms Limited,London,,Worker (A rating),Skilled Worker
1159,Acre Resources Ltd,London,,Worker (A rating),Skilled Worker
1161,acrinax Ltd,London,,Worker (A rating),Skilled Worker
1162,Acrisure Re Canada Limited,London,,Worker (A rating),Skilled Worker
1163,Acrisure Re Canada Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1164,Acrisure Re Canada Limited,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
1171,Across the Pond Productions Limited,London,,Worker (A rating),Skilled Worker
1172,Acrotrend Solutions Limited,London,United Kingdom,Worker (A rating),Skilled Worker
1187,ACT Developments London Limited,London,,Worker (A rating),Skilled Worker
1188,Act3 Consulting Limited,London,,Worker (A rating),Skilled Worker
1191,Actelligent (U.K.) Company Limited,London,,Worker (A rating),Skilled Worker
1195,Actimize UK Limited,London,,Worker (A rating),Skilled Worker
1196,Actimize UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1197,Action Against Hunger UK,London,London,Worker (A rating),Skilled Worker
1201,Action for Dolphins,London,,Worker (A rating),Skilled Worker
1205,Action on Disability,London,,Worker (A rating),Skilled Worker
1207,Action Sustainability,London,,Worker (A rating),Skilled Worker
1209,ActionAid UK,London,"London,City of",Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1211,Actis LLP,London,,Worker (A rating),Skilled Worker
1212,Actis LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1213,Actito UK,London,,Worker (A rating),Skilled Worker
1214,Actito UK,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1215,ACTITO UK,London,,Worker (A rating),Skilled Worker
1228,Active Partners LLP,London,,Worker (A rating),Skilled Worker
1235,Active Webdezign Ltd,London,,Worker (A rating),Skilled Worker
1236,ActiveDocs UK Limited,London,,Worker (A rating),Skilled Worker
1237,ActiveDocs UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1238,ActiveIS Limited,London,,Worker (A rating),Skilled Worker
1239,activeMind.legal UK Ltd.,London,,Worker (A rating),Skilled Worker
1244,ActiveViam Ltd,London,,Worker (A rating),Skilled Worker
1245,ActiveViam Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1249,Activum SG UK Advisors Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1250,Activum SG UK Advisors Limited,London,,Worker (A rating),Skilled Worker
1252,ACTON GREENERY LIMITED,London,,Worker (A rating),Skilled Worker
1253,Acton Muslim Welfare Association,London,,Temporary Worker (A rating),Religious Worker
1254,Acton Muslim Welfare Association,London,,Worker (A rating),Tier 2 Ministers of Religion
1256,Acts London,London,,Worker (A rating),Tier 2 Ministers of Religion
1262,Acturis Ltd,London,,Worker (A rating),Skilled Worker
1267,Acuiti Labs Limited,London,,Worker (A rating),Skilled Worker
1268,Acuiti Labs Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1269,ACUITY KNOWLEDGE PARTNERS (UK) LIMITED,London,,Worker (A rating),Skilled Worker
1270,ACUITY KNOWLEDGE PARTNERS (UK) LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1271,Acuity Professional Ltd,London,,Worker (A rating),Skilled Worker
1272,Acuity Professional Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1273,Acuity Solutions Ltd,London,,Worker (A rating),Skilled Worker
